trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma10,ma5>ma10,ma5>ma10_pre,jc
20120618,46.48,46.7,45.62,46.12,46.06,0.06,0.13,201148.87,928630.635,45.286,45.251,TRUE,FALSE,FALSE
20120619,46,46.6,45.85,45.96,46.12,-0.16,-0.35,202791.28,938135.164,45.286,45.251,TRUE,FALSE,FALSE
20120620,46,46.54,45.95,46.04,45.96,0.08,0.17,138919.49,641604.885,45.286,45.251,TRUE,FALSE,FALSE
20120621,45.76,45.76,44.26,44.77,46.04,-1.27,-2.76,275213.4,1234013.462,45.286,45.251,TRUE,FALSE,FALSE
20120625,44.45,44.59,43.47,43.54,44.77,-1.23,-2.75,189097.16,831236.799,45.286,45.251,TRUE,FALSE,FALSE
20120626,43.49,44.45,43.28,43.97,43.54,0.43,0.99,211789.17,932215.348,44.856,45.251,FALSE,FALSE,FALSE
20120628,44,45.1,44,44.65,43.97,0.68,1.55,253444.7,1134927.218,44.594,45.251,FALSE,FALSE,FALSE
20120629,44.52,46.43,44.5,45.74,44.65,1.09,2.44,332907.37,1521515.776,44.534,45.251,FALSE,FALSE,FALSE
20120702,46.1,46.16,45.32,46.1,45.74,0.36,0.79,185929.81,851036.871,44.8,45.251,FALSE,FALSE,FALSE
20120703,46.1,46.8,45.46,45.62,46.1,-0.48,-1.04,243087.09,1122983.251,45.216,45.251,FALSE,FALSE,FALSE
20120704,45.71,45.93,44.9,45.15,45.62,-0.47,-1.03,110491.55,499825.405,45.452,45.154,TRUE,FALSE,TRUE
20120705,44.85,45.8,44.63,45.35,45.15,0.2,0.44,148644.1,668744.298,45.592,45.093,TRUE,FALSE,TRUE
20120706,45.75,46.5,45.15,46.24,45.35,0.89,1.96,330381.65,1517030.324,45.692,45.113,TRUE,FALSE,TRUE
20120709,45.99,46.85,45.41,45.6,46.24,-0.64,-1.38,208367.03,962394.301,45.592,45.196,TRUE,FALSE,TRUE
20120710,45.6,46.35,45.09,45.52,45.6,-0.08,-0.18,161024.97,735694.463,45.572,45.394,TRUE,FALSE,TRUE
20120711,45.2,45.8,44.98,45.71,45.52,0.19,0.42,143387.55,650864.276,45.684,45.568,TRUE,FALSE,TRUE
20120712,45.6,45.6,44.34,45.01,45.71,-0.7,-1.53,351041.16,1577292.031,45.616,45.604,TRUE,FALSE,TRUE
20120713,44.54,45.6,44.54,45,45.01,-0.01,-0.02,148773.38,672160.609,45.368,45.53,FALSE,FALSE,FALSE
20120716,44.99,44.99,43.45,43.57,44.75,-1.18,-2.64,208562.97,915123.963,44.962,45.277,FALSE,FALSE,FALSE
20120717,43.5,44.4,43.28,44.29,43.57,0.72,1.65,208013.61,912292.976,44.716,45.144,FALSE,FALSE,FALSE
20120718,44.42,44.85,43.3,44.3,44.29,0.01,0.02,166542.12,734187.777,44.434,45.059,FALSE,FALSE,FALSE
20120719,44.15,46.5,44.01,45.94,44.3,1.64,3.7,353009.76,1615761.269,44.62,45.118,FALSE,FALSE,FALSE
20120720,45.8,46.03,45.41,45.97,45.94,0.03,0.07,187084.27,855906.518,44.814,45.091,FALSE,FALSE,FALSE
20120723,45.36,45.36,44.5,44.79,45.97,-1.18,-2.57,172867.97,776087.256,45.058,45.01,TRUE,FALSE,TRUE
20120724,44.44,45.4,44.44,44.93,44.79,0.14,0.31,157409.04,707539.023,45.186,44.951,TRUE,FALSE,TRUE
20120725,44.51,45.38,44.5,44.7,44.93,-0.23,-0.51,112389.48,505485.167,45.266,44.85,TRUE,FALSE,TRUE
20120726,44.8,45.68,44.5,44.7,44.7,0,0,164923.37,742538.462,45.018,44.819,TRUE,FALSE,TRUE
20120727,45.05,45.18,43.5,44.49,44.7,-0.21,-0.47,247192.49,1092836.704,44.722,44.768,FALSE,FALSE,FALSE
20120730,44.41,44.88,43.51,43.61,44.49,-0.88,-1.98,159358.78,700249.541,44.486,44.772,FALSE,FALSE,FALSE
20120731,43.61,45.12,43.5,44.24,43.61,0.63,1.44,209829.01,934470.07,44.348,44.767,FALSE,FALSE,FALSE
20120801,44.41,45.38,44.31,45.21,44.24,0.97,2.19,154617.45,697046.677,44.45,44.858,FALSE,FALSE,FALSE
20120802,45.1,45.38,44.4,44.84,45.21,-0.37,-0.82,146926.88,659389.572,44.478,44.748,FALSE,FALSE,FALSE
20120803,44.84,44.94,43.4,44.05,44.84,-0.79,-1.76,229890.02,1007850.527,44.39,44.556,FALSE,FALSE,FALSE
20120806,44.01,44.67,43.93,44.6,44.05,0.55,1.25,146310.67,648599.981,44.588,44.537,TRUE,FALSE,TRUE
20120807,44.5,44.58,43.7,43.92,44.6,-0.68,-1.52,180692.67,794908.672,44.524,44.436,TRUE,FALSE,TRUE
20120808,43.96,44.43,43.76,44.37,43.92,0.45,1.02,127186.45,561573.789,44.356,44.403,FALSE,FALSE,FALSE
